datetime,00010_Mean,hist_mean,hist_median,diff_hist_mean,diff_hist_median,comment,site_no
2008-10-08 00:00:00-05:00,12.7,15.66,15.335,-3.0,-2.7,,15765195
2008-10-09 00:00:00-05:00,14.8,15.335,15.36,-0.6,-0.6,,15765195
2008-10-10 00:00:00-05:00,13.6,14.9,14.27,-1.3,-0.7,,15765195
2008-10-11 00:00:00-05:00,13.0,13.785,13.895,-0.8,-0.9,,15765195
2008-10-12 00:00:00-05:00,13.1,13.0825,13.01,0.0,0.1,,15765195
2008-10-13 00:00:00-05:00,,,,,,Not enough instantaneous values to compute the daily mean,15765195
2008-10-14 00:00:00-05:00,,,,,,Not enough instantaneous values to compute the daily mean,15765195
2008-10-15 00:00:00-05:00,,,,,,Not enough instantaneous values to compute the daily mean,15765195
2008-10-16 00:00:00-05:00,,,,,,Not enough instantaneous values to compute the daily mean,15765195
2008-10-17 00:00:00-05:00,,,,,,Not enough instantaneous values to compute the daily mean,15765195
2008-10-18 00:00:00-05:00,,,,,,Not enough instantaneous values to compute the daily mean,15765195
2008-10-19 00:00:00-05:00,,,,,,Not enough instantaneous values to compute the daily mean,15765195
2008-10-20 00:00:00-05:00,,,,,,Not enough instantaneous values to compute the daily mean,15765195
2008-10-21 00:00:00-05:00,,,,,,Not enough instantaneous values to compute the daily mean,15765195
2008-10-22 00:00:00-05:00,,,,,,Not enough instantaneous values to compute the daily mean,15765195
2008-10-23 00:00:00-05:00,,,,,,Not enough instantaneous values to compute the daily mean,15765195
2008-10-24 00:00:00-05:00,,,,,,Not enough instantaneous values to compute the daily mean,15765195
2008-10-25 00:00:00-05:00,,,,,,Not enough instantaneous values to compute the daily mean,15765195
2008-10-26 00:00:00-05:00,,,,,,Not enough instantaneous values to compute the daily mean,15765195
2008-10-27 00:00:00-05:00,,,,,,Not enough instantaneous values to compute the daily mean,15765195
2008-10-28 00:00:00-05:00,,,,,,Not enough instantaneous values to compute the daily mean,15765195
2008-10-29 00:00:00-05:00,9.1,11.975,11.71,-2.9,-2.6,,15765195
2008-10-30 00:00:00-05:00,9.6,13.3575,13.255,-3.8,-3.7,,15765195
2008-10-31 00:00:00-05:00,9.9,12.2525,12.48,-2.4,-2.6,,15765195
2008-11-01 00:00:00-05:00,11.2,12.2425,11.865,-1.0,-0.7,,15765195
2008-11-02 00:00:00-05:00,10.8,12.2325,12.705,-1.5,-1.9,,15765195
2008-11-03 00:00:00-05:00,11.1,11.5525,11.71,-0.4,-0.6,,15765195
2008-11-04 00:00:00-05:00,11.7,11.85,11.83,-0.2,-0.2,,15765195
2008-11-05 00:00:00-05:00,12.7,11.88,11.72,0.8,1.0,,15765195
2008-11-06 00:00:00-05:00,13.4,11.0275,10.725,2.3,2.6,,15765195
2008-11-07 00:00:00-05:00,13.6,10.177999999999999,9.8385,3.5,3.8,,15765195
2008-11-08 00:00:00-05:00,,,,,,Not enough instantaneous values to compute the daily mean,15765195
2008-11-09 00:00:00-05:00,,,,,,Not enough instantaneous values to compute the daily mean,15765195
2008-11-10 00:00:00-05:00,9.8,9.4493,10.126,0.3,-0.3,,15765195
2008-11-11 00:00:00-05:00,9.2,9.4865,9.783999999999999,-0.3,-0.6,,15765195
2008-11-12 00:00:00-05:00,10.1,8.577,8.792,1.5,1.3,,15765195
2008-11-13 00:00:00-05:00,10.1,8.8085,8.7935,1.3,1.3,,15765195
2008-11-14 00:00:00-05:00,11.8,8.5035,8.4645,3.3,3.3,,15765195
2008-11-15 00:00:00-05:00,,8.531,8.895,5.0,4.6,Difference between daily mean and historical mean or median greater than 4 degrees,15765195
2008-11-16 00:00:00-05:00,10.2,8.8055,9.0285,1.4,1.2,,15765195
2008-11-17 00:00:00-05:00,9.3,9.1958,9.5735,0.1,-0.3,,15765195
2008-11-18 00:00:00-05:00,7.8,9.89,9.7455,-2.1,-2.0,,15765195
2008-11-19 00:00:00-05:00,6.9,9.6125,9.905,-2.7,-3.0,,15765195
2008-11-20 00:00:00-05:00,8.1,8.8138,9.0875,-0.7,-1.0,,15765195
2008-11-21 00:00:00-05:00,7.6,8.4858,8.7455,-0.9,-1.2,,15765195
2008-11-22 00:00:00-05:00,6.3,7.841,7.694,-1.5,-1.4,,15765195
2008-11-23 00:00:00-05:00,6.8,7.4638,7.649,-0.7,-0.9,,15765195
2008-11-24 00:00:00-05:00,7.4,8.6248,8.585,-1.3,-1.2,,15765195
2008-11-25 00:00:00-05:00,8.4,9.3708,9.472999999999999,-1.0,-1.1,,15765195
2008-11-26 00:00:00-05:00,8.0,9.0588,8.9135,-1.0,-0.9,,15765195
2008-11-27 00:00:00-05:00,8.5,8.4805,8.3755,0.0,0.1,,15765195
2008-11-28 00:00:00-05:00,8.0,8.336,8.1805,-0.3,-0.1,,15765195
