datetime,daily_SSC_Load,daily_count,site_no
2008-10-01 00:00:00-05:00,,0,015765195
2008-10-02 00:00:00-05:00,,0,015765195
2008-10-03 00:00:00-05:00,,0,015765195
2008-10-04 00:00:00-05:00,,0,015765195
2008-10-05 00:00:00-05:00,,0,015765195
2008-10-06 00:00:00-05:00,,0,015765195
2008-10-07 00:00:00-05:00,,0,015765195
2008-10-08 00:00:00-05:00,,0,015765195
2008-10-09 00:00:00-05:00,,0,015765195
2008-10-10 00:00:00-05:00,,0,015765195
2008-10-11 00:00:00-05:00,,0,015765195
2008-10-12 00:00:00-05:00,,0,015765195
2008-10-13 00:00:00-05:00,,0,015765195
2008-10-14 00:00:00-05:00,,0,015765195
2008-10-15 00:00:00-05:00,,0,015765195
2008-10-16 00:00:00-05:00,,0,015765195
2008-10-17 00:00:00-05:00,,0,015765195
2008-10-18 00:00:00-05:00,,0,015765195
2008-10-19 00:00:00-05:00,,0,015765195
2008-10-20 00:00:00-05:00,,0,015765195
2008-10-21 00:00:00-05:00,,0,015765195
2008-10-22 00:00:00-05:00,,0,015765195
2008-10-23 00:00:00-05:00,,0,015765195
2008-10-24 00:00:00-05:00,,0,015765195
2008-10-25 00:00:00-05:00,8.03,40,015765195
2008-10-26 00:00:00-05:00,0.185,91,015765195
2008-10-27 00:00:00-05:00,0.096,94,015765195
2008-10-28 00:00:00-05:00,1.8,90,015765195
2008-10-29 00:00:00-05:00,,0,015765195
2008-10-30 00:00:00-05:00,0.7070000000000001,96,015765195
2008-10-31 00:00:00-05:00,0.132,96,015765195
2008-11-01 00:00:00-05:00,0.0986,96,015765195
2008-11-02 00:00:00-05:00,0.0807,96,015765195
2008-11-03 00:00:00-05:00,0.0892,96,015765195
2008-11-04 00:00:00-05:00,0.28800000000000003,92,015765195
2008-11-05 00:00:00-05:00,0.5710000000000001,95,015765195
2008-11-06 00:00:00-05:00,0.125,96,015765195
2008-11-07 00:00:00-05:00,0.128,96,015765195
2008-11-08 00:00:00-05:00,0.526,93,015765195
2008-11-09 00:00:00-05:00,0.455,79,015765195
2008-11-10 00:00:00-05:00,0.0684,68,015765195
2008-11-11 00:00:00-05:00,0.0371,37,015765195
2008-11-12 00:00:00-05:00,0.0176,28,015765195
2008-11-13 00:00:00-05:00,0.8909999999999999,73,015765195
2008-11-14 00:00:00-05:00,0.0749,96,015765195
2008-11-15 00:00:00-05:00,2.95,96,015765195
2008-11-16 00:00:00-05:00,0.20199999999999999,96,015765195
2008-11-17 00:00:00-05:00,0.0944,96,015765195
2008-11-18 00:00:00-05:00,0.127,95,015765195
2008-11-19 00:00:00-05:00,0.0891,96,015765195
2008-11-20 00:00:00-05:00,0.0851,95,015765195
2008-11-21 00:00:00-05:00,0.099,96,015765195
2008-11-22 00:00:00-05:00,0.0967,96,015765195
2008-11-23 00:00:00-05:00,0.175,96,015765195
2008-11-24 00:00:00-05:00,0.5529999999999999,94,015765195
2008-11-25 00:00:00-05:00,1.11,96,015765195
2008-11-26 00:00:00-05:00,0.773,93,015765195
2008-11-27 00:00:00-05:00,0.226,96,015765195
2008-11-28 00:00:00-05:00,0.24100000000000002,94,015765195
2008-11-29 00:00:00-05:00,0.18100000000000002,95,015765195
2008-11-30 00:00:00-05:00,0.703,96,015765195
2008-12-01 00:00:00-05:00,0.474,96,015765195
2008-12-02 00:00:00-05:00,0.0896,71,015765195
2008-12-03 00:00:00-05:00,0.152,75,015765195
2008-12-04 00:00:00-05:00,0.0996,73,015765195
2008-12-05 00:00:00-05:00,0.0955,69,015765195
2008-12-06 00:00:00-05:00,0.0843,62,015765195
2008-12-07 00:00:00-05:00,0.0613,75,015765195
2008-12-08 00:00:00-05:00,0.0756,64,015765195
2008-12-09 00:00:00-05:00,0.081,83,015765195
2008-12-10 00:00:00-05:00,0.997,96,015765195
2008-12-11 00:00:00-05:00,53.6,96,015765195
2008-12-12 00:00:00-05:00,45.1,96,015765195
2008-12-13 00:00:00-05:00,1.71,96,015765195
2008-12-14 00:00:00-05:00,0.983,96,015765195
2008-12-15 00:00:00-05:00,0.84,94,015765195
2008-12-16 00:00:00-05:00,1.58,96,015765195
2008-12-17 00:00:00-05:00,6.89,96,015765195
2008-12-18 00:00:00-05:00,1.29,96,015765195
2008-12-19 00:00:00-05:00,49.5,96,015765195
2008-12-20 00:00:00-05:00,3.67,91,015765195
2008-12-21 00:00:00-05:00,1.54,94,015765195
2008-12-22 00:00:00-05:00,0.917,94,015765195
2008-12-23 00:00:00-05:00,0.878,95,015765195
2008-12-24 00:00:00-05:00,5.81,96,015765195
2008-12-25 00:00:00-05:00,1.17,96,015765195
2008-12-26 00:00:00-05:00,0.831,96,015765195
2008-12-27 00:00:00-05:00,1.01,96,015765195
2008-12-28 00:00:00-05:00,0.8270000000000001,96,015765195
2008-12-29 00:00:00-05:00,0.6559999999999999,96,015765195
2008-12-30 00:00:00-05:00,0.594,96,015765195
2008-12-31 00:00:00-05:00,0.541,96,015765195
2009-01-01 00:00:00-05:00,0.5529999999999999,96,015765195
2009-01-02 00:00:00-05:00,0.5770000000000001,96,015765195
2009-01-03 00:00:00-05:00,0.505,96,015765195
2009-01-04 00:00:00-05:00,0.604,95,015765195
2009-01-05 00:00:00-05:00,0.524,24,015765195
2009-01-06 00:00:00-05:00,0.638,56,015765195
2009-01-07 00:00:00-05:00,27.8,96,015765195
2009-01-08 00:00:00-05:00,1.38,96,015765195
2009-01-09 00:00:00-05:00,0.718,96,015765195
2009-01-10 00:00:00-05:00,0.625,96,015765195
2009-01-11 00:00:00-05:00,0.519,96,015765195
2009-01-12 00:00:00-05:00,0.506,96,015765195
2009-01-13 00:00:00-05:00,0.591,95,015765195
2009-01-14 00:00:00-05:00,0.5379999999999999,96,015765195
2009-01-15 00:00:00-05:00,0.535,96,015765195
2009-01-16 00:00:00-05:00,0.379,96,015765195
2009-01-17 00:00:00-05:00,0.451,96,015765195
2009-01-18 00:00:00-05:00,0.413,96,015765195
2009-01-19 00:00:00-05:00,0.41200000000000003,94,015765195
2009-01-20 00:00:00-05:00,0.444,95,015765195
2009-01-21 00:00:00-05:00,0.36,96,015765195
2009-01-22 00:00:00-05:00,0.38799999999999996,95,015765195
2009-01-23 00:00:00-05:00,0.401,92,015765195
2009-01-24 00:00:00-05:00,0.34600000000000003,96,015765195
2009-01-25 00:00:00-05:00,0.303,96,015765195
2009-01-26 00:00:00-05:00,0.335,96,015765195
2009-01-27 00:00:00-05:00,0.376,96,015765195
2009-01-28 00:00:00-05:00,2.95,90,015765195
2009-01-29 00:00:00-05:00,0.804,96,015765195
2009-01-30 00:00:00-05:00,0.43700000000000006,96,015765195
2009-01-31 00:00:00-05:00,0.402,96,015765195
2009-02-01 00:00:00-05:00,4.16,93,015765195
2009-02-02 00:00:00-05:00,14.3,96,015765195
2009-02-03 00:00:00-05:00,1.14,95,015765195
2009-02-04 00:00:00-05:00,0.523,94,015765195
2009-02-05 00:00:00-05:00,0.431,92,015765195
2009-02-06 00:00:00-05:00,0.40299999999999997,88,015765195
2009-02-07 00:00:00-05:00,6.48,94,015765195
2009-02-08 00:00:00-05:00,1.78,95,015765195
2009-02-09 00:00:00-05:00,0.5710000000000001,92,015765195
2009-02-10 00:00:00-05:00,,0,015765195
2009-02-11 00:00:00-05:00,,0,015765195
2009-02-12 00:00:00-05:00,,0,015765195
2009-02-13 00:00:00-05:00,0.426,84,015765195
2009-02-14 00:00:00-05:00,0.449,83,015765195
2009-02-15 00:00:00-05:00,0.382,85,015765195
2009-02-16 00:00:00-05:00,0.35600000000000004,80,015765195
2009-02-17 00:00:00-05:00,0.32,69,015765195
2009-02-18 00:00:00-05:00,0.474,57,015765195
2009-02-19 00:00:00-05:00,0.552,65,015765195
2009-02-20 00:00:00-05:00,0.299,84,015765195
2009-02-21 00:00:00-05:00,0.344,83,015765195
2009-02-22 00:00:00-05:00,0.284,84,015765195
2009-02-23 00:00:00-05:00,0.368,95,015765195
2009-02-24 00:00:00-05:00,0.301,77,015765195
2009-02-25 00:00:00-05:00,0.26899999999999996,73,015765195
2009-02-26 00:00:00-05:00,0.31,73,015765195
2009-02-27 00:00:00-05:00,,0,015765195
2009-02-28 00:00:00-05:00,,0,015765195
2009-03-01 00:00:00-05:00,,0,015765195
2009-03-02 00:00:00-05:00,,0,015765195
2009-03-03 00:00:00-05:00,,0,015765195
2009-03-04 00:00:00-05:00,,0,015765195
2009-03-05 00:00:00-05:00,,0,015765195
2009-03-06 00:00:00-05:00,,0,015765195
2009-03-07 00:00:00-05:00,,0,015765195
2009-03-08 00:00:00-05:00,,0,015765195
2009-03-09 00:00:00-05:00,,0,015765195
2009-03-10 00:00:00-05:00,,0,015765195
2009-03-11 00:00:00-05:00,,0,015765195
2009-03-12 00:00:00-05:00,,0,015765195
2009-03-13 00:00:00-05:00,,0,015765195
2009-03-14 00:00:00-05:00,,0,015765195
2009-03-15 00:00:00-05:00,,0,015765195
2009-03-16 00:00:00-05:00,,0,015765195
2009-03-17 00:00:00-05:00,,0,015765195
