datetime,datetime_str,00010_Maximum,00010_Maximum_cd,site_no,00010_Minimum,00010_Minimum_cd,00010_Mean,00010_Mean_cd,00060_Mean,00060_Mean_cd,63680_Maximum,63680_Maximum_cd,63680_Minimum,63680_Minimum_cd,63680_Mean,63680_Mean_cd,datetime
2008-10-01 00:00:00-05:00,2008-10-01 00:00:00,,,01576516,,,,,0.8,"A, e",,,,,,,2008-10-01 00:00:00-05:00
2008-10-02 00:00:00-05:00,2008-10-02 00:00:00,,,01576516,,,,,0.75,"A, e",,,,,,,2008-10-02 00:00:00-05:00
2008-10-03 00:00:00-05:00,2008-10-03 00:00:00,,,01576516,,,,,0.73,"A, e",,,,,,,2008-10-03 00:00:00-05:00
2008-10-04 00:00:00-05:00,2008-10-04 00:00:00,,,01576516,,,,,0.7,"A, e",,,,,,,2008-10-04 00:00:00-05:00
2008-10-05 00:00:00-05:00,2008-10-05 00:00:00,,,01576516,,,,,0.69,"A, e",,,,,,,2008-10-05 00:00:00-05:00
2008-10-06 00:00:00-05:00,2008-10-06 00:00:00,,,01576516,,,,,0.7,"A, e",,,,,,,2008-10-06 00:00:00-05:00
2008-10-07 00:00:00-05:00,2008-10-07 00:00:00,,,01576516,,,,,0.71,"A, e",,,,,,,2008-10-07 00:00:00-05:00
2008-10-08 00:00:00-05:00,2008-10-08 00:00:00,,,01576516,,,,,0.69,"A, e",,,,,,,2008-10-08 00:00:00-05:00
2008-10-09 00:00:00-05:00,2008-10-09 00:00:00,,,01576516,,,,,0.68,"A, e",,,,,,,2008-10-09 00:00:00-05:00
2008-10-10 00:00:00-05:00,2008-10-10 00:00:00,,,01576516,,,,,0.67,A,,,,,,,2008-10-10 00:00:00-05:00
2008-10-11 00:00:00-05:00,2008-10-11 00:00:00,,,01576516,,,,,0.65,A,,,,,,,2008-10-11 00:00:00-05:00
2008-10-12 00:00:00-05:00,2008-10-12 00:00:00,,,01576516,,,,,0.65,A,,,,,,,2008-10-12 00:00:00-05:00
2008-10-13 00:00:00-05:00,2008-10-13 00:00:00,,,01576516,,,,,0.66,A,,,,,,,2008-10-13 00:00:00-05:00
2008-10-14 00:00:00-05:00,2008-10-14 00:00:00,,,01576516,,,,,0.66,A,,,,,,,2008-10-14 00:00:00-05:00
2008-10-15 00:00:00-05:00,2008-10-15 00:00:00,,,01576516,,,,,0.66,A,,,,,,,2008-10-15 00:00:00-05:00
2008-10-16 00:00:00-05:00,2008-10-16 00:00:00,,,01576516,,,,,0.65,A,,,,,,,2008-10-16 00:00:00-05:00
2008-10-17 00:00:00-05:00,2008-10-17 00:00:00,,,01576516,,,,,0.64,A,,,,,,,2008-10-17 00:00:00-05:00
2008-10-18 00:00:00-05:00,2008-10-18 00:00:00,,,01576516,,,,,0.63,A,,,,,,,2008-10-18 00:00:00-05:00
2008-10-19 00:00:00-05:00,2008-10-19 00:00:00,,,01576516,,,,,0.64,A,,,,,,,2008-10-19 00:00:00-05:00
2008-10-20 00:00:00-05:00,2008-10-20 00:00:00,,,01576516,,,,,0.64,A,,,,,,,2008-10-20 00:00:00-05:00
2008-10-21 00:00:00-05:00,2008-10-21 00:00:00,,,01576516,,,,,0.65,A,,,,,,,2008-10-21 00:00:00-05:00
2008-10-22 00:00:00-05:00,2008-10-22 00:00:00,,,01576516,,,,,0.66,A,,,,,,,2008-10-22 00:00:00-05:00
2008-10-23 00:00:00-05:00,2008-10-23 00:00:00,,,01576516,,,,,0.68,A,,,,,,,2008-10-23 00:00:00-05:00
2008-10-24 00:00:00-05:00,2008-10-24 00:00:00,,,01576516,,,,,0.68,A,,,,,,,2008-10-24 00:00:00-05:00
2008-10-25 00:00:00-05:00,2008-10-25 00:00:00,,,01576516,,,,,1.34,A,,,,,,,2008-10-25 00:00:00-05:00
2008-10-26 00:00:00-05:00,2008-10-26 00:00:00,,,01576516,,,,,0.69,A,,,,,,,2008-10-26 00:00:00-05:00
2008-10-27 00:00:00-05:00,2008-10-27 00:00:00,,,01576516,,,,,0.61,A,,,,,,,2008-10-27 00:00:00-05:00
2008-10-28 00:00:00-05:00,2008-10-28 00:00:00,,,01576516,,,,,1.69,A,,,,,,,2008-10-28 00:00:00-05:00
2008-10-29 00:00:00-05:00,2008-10-29 00:00:00,,,01576516,,,,,0.74,A,,,,,,,2008-10-29 00:00:00-05:00
2008-10-30 00:00:00-05:00,2008-10-30 00:00:00,,,01576516,,,,,0.65,A,,,,,,,2008-10-30 00:00:00-05:00
2008-10-31 00:00:00-05:00,2008-10-31 00:00:00,,,01576516,,,,,0.64,A,,,,,,,2008-10-31 00:00:00-05:00
2008-11-01 00:00:00-05:00,2008-11-01 00:00:00,,,01576516,,,,,0.63,A,,,,,,,2008-11-01 00:00:00-05:00
2008-11-02 00:00:00-05:00,2008-11-02 00:00:00,,,01576516,,,,,0.63,A,,,,,,,2008-11-02 00:00:00-05:00
2008-11-03 00:00:00-05:00,2008-11-03 00:00:00,,,01576516,,,,,0.64,A,,,,,,,2008-11-03 00:00:00-05:00
