datetime,00010_Mean,hist_mean,hist_median,diff_hist_mean,diff_hist_median,comment,site_no
2012-10-01 00:00:00-05:00,12.7,12.8,12.755,-0.1,-0.1,,1576516
2012-10-02 00:00:00-05:00,14.6,13.0617,12.88,1.5,1.7,,1576516
2012-10-03 00:00:00-05:00,13.9,12.9883,12.885,0.9,1.0,,1576516
2012-10-04 00:00:00-05:00,13.3,12.835,12.88,0.5,0.4,,1576516
2012-10-05 00:00:00-05:00,13.1,12.8817,12.93,0.2,0.2,,1576516
2012-10-06 00:00:00-05:00,12.9,13.0883,12.865,-0.2,0.0,,1576516
2012-10-07 00:00:00-05:00,12.5,12.785,12.725,-0.3,-0.2,,1576516
2012-10-08 00:00:00-05:00,12.3,12.8383,12.625,-0.5,-0.3,,1576516
2012-10-09 00:00:00-05:00,12.5,12.7433,12.655,-0.2,-0.2,,1576516
2012-10-10 00:00:00-05:00,12.8,12.8933,12.605,-0.1,0.2,,1576516
2012-10-11 00:00:00-05:00,12.4,12.6967,12.455,-0.3,-0.1,,1576516
2012-10-12 00:00:00-05:00,12.3,12.63,12.57,-0.3,-0.3,,1576516
2012-10-13 00:00:00-05:00,12.2,12.675,12.745,-0.5,-0.5,,1576516
2012-10-14 00:00:00-05:00,12.6,13.1667,12.69,-0.6,-0.1,,1576516
2012-10-15 00:00:00-05:00,12.8,12.8533,12.745,-0.1,0.1,,1576516
2012-10-16 00:00:00-05:00,12.5,12.5333,12.48,0.0,0.0,,1576516
2012-10-17 00:00:00-05:00,12.4,12.562000000000001,12.57,-0.2,-0.2,,1576516
2012-10-18 00:00:00-05:00,12.7,12.522,12.55,0.2,0.1,,1576516
2012-10-19 00:00:00-05:00,14.5,12.7883,12.42,1.7,2.1,,1576516
2012-10-20 00:00:00-05:00,13.1,12.5967,12.51,0.5,0.6,,1576516
2012-10-21 00:00:00-05:00,12.5,12.5333,12.495,0.0,0.0,,1576516
2012-10-22 00:00:00-05:00,12.5,12.4267,12.4,0.1,0.1,,1576516
2012-10-23 00:00:00-05:00,12.6,12.42,12.445,0.2,0.2,,1576516
2012-10-24 00:00:00-05:00,12.8,12.3683,12.47,0.4,0.3,,1576516
2012-10-25 00:00:00-05:00,12.7,12.225,12.205,0.5,0.5,,1576516
2012-10-26 00:00:00-05:00,12.7,12.1717,12.14,0.5,0.6,,1576516
2012-10-27 00:00:00-05:00,12.7,12.4783,12.525,0.2,0.2,,1576516
2012-10-28 00:00:00-05:00,12.5,12.49,12.46,0.0,0.0,,1576516
2012-10-29 00:00:00-05:00,11.5,12.0883,12.215,-0.6,-0.7,,1576516
2012-10-30 00:00:00-05:00,10.4,12.0433,12.2,-1.6,-1.8,,1576516
2012-10-31 00:00:00-05:00,11.8,12.296,12.34,-0.5,-0.5,,1576516
2012-11-01 00:00:00-05:00,11.9,12.084000000000001,12.09,-0.2,-0.2,,1576516
2012-11-02 00:00:00-05:00,11.7,12.06,11.97,-0.4,-0.3,,1576516
2012-11-03 00:00:00-05:00,11.5,12.056,12.24,-0.6,-0.7,,1576516
2012-11-04 00:00:00-05:00,11.6,12.154000000000002,12.27,-0.6,-0.7,,1576516
2012-11-05 00:00:00-05:00,11.3,12.112,12.09,-0.8,-0.8,,1576516
2012-11-06 00:00:00-05:00,11.3,11.972000000000001,12.08,-0.7,-0.8,,1576516
2012-11-07 00:00:00-05:00,11.3,11.702,11.73,-0.4,-0.4,,1576516
2012-11-08 00:00:00-05:00,11.2,11.752,11.85,-0.6,-0.7,,1576516
2012-11-09 00:00:00-05:00,11.4,11.937999999999999,11.89,-0.5,-0.5,,1576516
2012-11-10 00:00:00-05:00,11.6,12.01,12.01,-0.4,-0.4,,1576516
2012-11-11 00:00:00-05:00,11.9,11.994000000000002,11.95,-0.1,0.0,,1576516
2012-11-12 00:00:00-05:00,12.3,11.74,11.57,0.6,0.7,,1576516
2012-11-13 00:00:00-05:00,11.2,11.434000000000001,11.39,-0.2,-0.2,,1576516
2012-11-14 00:00:00-05:00,11.3,11.492,11.39,-0.2,-0.1,,1576516
2012-11-15 00:00:00-05:00,11.3,11.738,11.82,-0.4,-0.5,,1576516
2012-11-16 00:00:00-05:00,11.3,11.672,11.7,-0.4,-0.4,,1576516
2012-11-17 00:00:00-05:00,11.3,11.52,11.84,-0.2,-0.5,,1576516
2012-11-18 00:00:00-05:00,11.4,11.558,11.52,-0.2,-0.1,,1576516
2012-11-19 00:00:00-05:00,11.5,11.524000000000001,11.48,0.0,0.0,,1576516
2012-11-20 00:00:00-05:00,11.6,11.272,11.62,0.3,0.0,,1576516
2012-11-21 00:00:00-05:00,11.5,11.315999999999999,11.48,0.2,0.0,,1576516
2012-11-22 00:00:00-05:00,11.4,11.267999999999999,11.35,0.1,0.1,,1576516
2012-11-23 00:00:00-05:00,11.5,11.357999999999999,11.5,0.1,0.0,,1576516
2012-11-24 00:00:00-05:00,10.8,11.394,11.61,-0.6,-0.8,,1576516
2012-11-25 00:00:00-05:00,10.9,10.8082,10.88,0.1,0.0,,1576516
2012-11-26 00:00:00-05:00,11.2,10.487,11.16,0.7,0.0,,1576516
2012-11-27 00:00:00-05:00,10.7,10.7346,10.65,0.0,0.0,,1576516
2012-11-28 00:00:00-05:00,11.1,11.054,11.07,0.0,0.0,,1576516
2012-11-29 00:00:00-05:00,11.0,11.282,11.36,-0.3,-0.4,,1576516
2012-11-30 00:00:00-05:00,11.2,11.515999999999998,11.67,-0.3,-0.5,,1576516
2012-12-01 00:00:00-05:00,11.5,11.462,11.48,0.0,0.0,,1576516
2012-12-02 00:00:00-05:00,11.8,11.235999999999999,11.46,0.6,0.3,,1576516
2012-12-03 00:00:00-05:00,12.1,11.44,11.48,0.7,0.6,,1576516
2012-12-04 00:00:00-05:00,12.3,11.696,11.56,0.6,0.7,,1576516
2012-12-05 00:00:00-05:00,11.9,11.152000000000001,11.54,0.7,0.4,,1576516
2012-12-06 00:00:00-05:00,11.4,10.5502,11.13,0.8,0.3,,1576516
2012-12-07 00:00:00-05:00,11.6,10.918,11.43,0.7,0.2,,1576516
2012-12-08 00:00:00-05:00,12.0,10.8646,11.23,1.1,0.8,,1576516
2012-12-09 00:00:00-05:00,11.9,10.9058,10.88,1.0,1.0,,1576516
2012-12-10 00:00:00-05:00,12.1,10.8492,10.79,1.3,1.3,,1576516
2012-12-11 00:00:00-05:00,11.7,10.987,11.0,0.7,0.7,,1576516
2012-12-12 00:00:00-05:00,11.5,11.0678,11.24,0.4,0.3,,1576516
2012-12-13 00:00:00-05:00,11.4,11.142999999999999,11.26,0.3,0.1,,1576516
2012-12-14 00:00:00-05:00,11.3,10.8984,11.18,0.4,0.1,,1576516
2012-12-15 00:00:00-05:00,11.4,10.6862,10.9,0.7,0.5,,1576516
2012-12-16 00:00:00-05:00,11.8,10.9906,11.08,0.8,0.7,,1576516
2012-12-17 00:00:00-05:00,11.8,10.8552,10.59,0.9,1.2,,1576516
2012-12-18 00:00:00-05:00,11.7,10.912,10.89,0.8,0.8,,1576516
2012-12-19 00:00:00-05:00,11.5,11.014000000000001,10.85,0.5,0.7,,1576516
2012-12-20 00:00:00-05:00,11.2,10.8592,10.83,0.3,0.4,,1576516
2012-12-21 00:00:00-05:00,8.6,10.8684,10.82,-2.3,-2.2,,1576516
2012-12-22 00:00:00-05:00,9.2,11.0274,11.05,-1.8,-1.9,,1576516
2012-12-23 00:00:00-05:00,9.9,10.8698,10.87,-1.0,-1.0,,1576516
2012-12-24 00:00:00-05:00,10.0,10.9282,10.98,-0.9,-1.0,,1576516
2012-12-25 00:00:00-05:00,10.5,10.9276,10.61,-0.4,-0.1,,1576516
2012-12-26 00:00:00-05:00,9.0,10.7298,10.82,-1.7,-1.8,,1576516
2012-12-27 00:00:00-05:00,7.6,10.618,11.28,-3.0,-3.7,,1576516
2012-12-28 00:00:00-05:00,9.4,10.2242,10.64,-0.8,-1.2,,1576516
2012-12-29 00:00:00-05:00,9.7,10.5988,10.7,-0.9,-1.0,,1576516
2012-12-30 00:00:00-05:00,9.4,10.3348,10.25,-0.9,-0.9,,1576516
2012-12-31 00:00:00-05:00,9.9,,,,,"No historical value, assume good",1576516
2013-01-01 00:00:00-05:00,10.3,10.69,10.47,-0.4,-0.2,,1576516
2013-01-02 00:00:00-05:00,9.8,10.6002,10.67,-0.8,-0.9,,1576516
2013-01-03 00:00:00-05:00,9.9,10.3636,10.23,-0.5,-0.3,,1576516
2013-01-04 00:00:00-05:00,9.9,10.2566,9.946,-0.4,0.0,,1576516
2013-01-05 00:00:00-05:00,10.1,10.206,10.09,-0.1,0.0,,1576516
2013-01-06 00:00:00-05:00,10.5,9.6662,10.54,0.8,0.0,,1576516
2013-01-07 00:00:00-05:00,10.6,9.9876,10.33,0.6,0.3,,1576516
2013-01-08 00:00:00-05:00,10.4,10.1244,9.878,0.3,0.5,,1576516
2013-01-09 00:00:00-05:00,10.5,10.4696,10.08,0.0,0.4,,1576516
2013-01-10 00:00:00-05:00,10.7,10.0966,10.44,0.6,0.3,,1576516
2013-01-11 00:00:00-05:00,10.5,9.419,10.36,1.1,0.1,,1576516
2013-01-12 00:00:00-05:00,11.1,10.0136,10.4,1.1,0.7,,1576516
2013-01-13 00:00:00-05:00,11.3,10.3934,10.22,0.9,1.1,,1576516
2013-01-14 00:00:00-05:00,11.5,10.5714,10.9,0.9,0.6,,1576516
2013-01-15 00:00:00-05:00,10.7,10.5096,10.7,0.2,0.0,,1576516
2013-01-16 00:00:00-05:00,7.1,9.6628,10.04,-2.6,-2.9,,1576516
2013-01-17 00:00:00-05:00,10.1,10.4416,10.26,-0.3,-0.2,,1576516
2013-01-18 00:00:00-05:00,9.6,10.0214,10.06,-0.4,-0.5,,1576516
2013-01-19 00:00:00-05:00,10.0,10.2164,9.991,-0.2,0.0,,1576516
2013-01-20 00:00:00-05:00,10.2,10.5474,10.57,-0.3,-0.4,,1576516
2013-01-21 00:00:00-05:00,9.7,10.4174,10.63,-0.7,-0.9,,1576516
2013-01-22 00:00:00-05:00,9.1,10.1978,10.66,-1.1,-1.6,,1576516
2013-01-23 00:00:00-05:00,9.3,9.9136,10.28,-0.6,-1.0,,1576516
2013-01-24 00:00:00-05:00,9.6,9.485,9.605,0.1,0.0,,1576516
2013-01-25 00:00:00-05:00,9.7,9.7516,9.735,-0.1,0.0,,1576516
2013-01-26 00:00:00-05:00,9.8,10.0582,9.832,-0.3,0.0,,1576516
2013-01-27 00:00:00-05:00,10.1,10.133,10.08,0.0,0.0,,1576516
2013-01-28 00:00:00-05:00,10.3,10.1502,10.26,0.1,0.0,,1576516
2013-01-29 00:00:00-05:00,10.7,10.3482,10.6,0.4,0.1,,1576516
2013-01-30 00:00:00-05:00,10.7,10.3102,10.7,0.4,0.0,,1576516
2013-01-31 00:00:00-05:00,8.5,10.0562,9.982999999999999,-1.6,-1.5,,1576516
2013-02-01 00:00:00-05:00,8.9,10.0578,10.26,-1.2,-1.4,,1576516
2013-02-02 00:00:00-05:00,9.2,9.4334,10.0,-0.2,-0.8,,1576516
2013-02-03 00:00:00-05:00,9.8,8.6962,8.833,1.1,1.0,,1576516
2013-02-04 00:00:00-05:00,9.6,9.3354,9.641,0.3,0.0,,1576516
2013-02-05 00:00:00-05:00,10.2,9.187999999999999,10.04,1.0,0.2,,1576516
2013-02-06 00:00:00-05:00,10.2,9.8024,10.13,0.4,0.1,,1576516
2013-02-07 00:00:00-05:00,10.2,10.2764,10.15,-0.1,0.0,,1576516
2013-02-08 00:00:00-05:00,10.2,10.5312,10.21,-0.3,0.0,,1576516
2013-02-09 00:00:00-05:00,9.6,9.9395,9.8545,-0.3,-0.3,,1576516
2013-02-10 00:00:00-05:00,10.2,9.9406,10.22,0.3,0.0,,1576516
2013-02-11 00:00:00-05:00,9.9,9.9708,9.907,-0.1,0.0,,1576516
2013-02-12 00:00:00-05:00,10.4,9.9936,10.3,0.4,0.1,,1576516
2013-02-13 00:00:00-05:00,10.2,9.5718,9.671,0.6,0.5,,1576516
2013-02-14 00:00:00-05:00,10.6,10.0776,10.26,0.5,0.3,,1576516
2013-02-15 00:00:00-05:00,10.7,9.8838,9.842,0.8,0.9,,1576516
2013-02-16 00:00:00-05:00,10.0,9.692,9.808,0.3,0.2,,1576516
2013-02-17 00:00:00-05:00,9.2,9.7644,9.266,-0.6,-0.1,,1576516
2013-02-18 00:00:00-05:00,9.5,10.0512,9.497,-0.6,0.0,,1576516
2013-02-19 00:00:00-05:00,9.8,9.9722,9.764,-0.2,0.0,,1576516
2013-02-20 00:00:00-05:00,9.5,10.134,9.527999999999999,-0.6,0.0,,1576516
2013-02-21 00:00:00-05:00,9.5,10.0216,10.02,-0.5,-0.5,,1576516
2013-02-22 00:00:00-05:00,10.2,10.1854,10.23,0.0,0.0,,1576516
2013-02-23 00:00:00-05:00,10.7,10.1202,10.42,0.6,0.3,,1576516
2013-02-24 00:00:00-05:00,10.7,10.287,10.45,0.4,0.3,,1576516
2013-02-25 00:00:00-05:00,10.7,10.582,10.52,0.1,0.2,,1576516
2013-02-26 00:00:00-05:00,10.4,10.2754,10.38,0.1,0.0,,1576516
2013-02-27 00:00:00-05:00,10.4,10.3516,10.5,0.0,-0.1,,1576516
2013-02-28 00:00:00-05:00,10.7,10.7086,10.74,0.0,0.0,,1576516
2013-03-01 00:00:00-05:00,10.5,11.065,10.91,-0.6,-0.4,,1576516
2013-03-02 00:00:00-05:00,10.4,10.9475,10.95,-0.5,-0.5,,1576516
2013-03-03 00:00:00-05:00,10.0,10.2913,10.42,-0.3,-0.4,,1576516
2013-03-04 00:00:00-05:00,9.9,9.2288,9.862,0.7,0.0,,1576516
2013-03-05 00:00:00-05:00,10.7,9.3998,10.63,1.3,0.1,,1576516
2013-03-06 00:00:00-05:00,10.2,10.2454,10.24,0.0,0.0,,1576516
2013-03-07 00:00:00-05:00,10.7,10.76,10.74,-0.1,0.0,,1576516
2013-03-08 00:00:00-05:00,10.5,10.1996,10.51,0.3,0.0,,1576516
2013-03-09 00:00:00-05:00,11.2,9.2024,11.17,2.0,0.0,,1576516
2013-03-10 00:00:00-05:00,11.4,9.339,11.11,2.1,0.3,,1576516
