datetime,daily_SSC_Load,daily_count,site_no
2008-10-01 00:00:00-05:00,,0,015765185
2008-10-02 00:00:00-05:00,,0,015765185
2008-10-03 00:00:00-05:00,,0,015765185
2008-10-04 00:00:00-05:00,,0,015765185
2008-10-05 00:00:00-05:00,,0,015765185
2008-10-06 00:00:00-05:00,,0,015765185
2008-10-07 00:00:00-05:00,,0,015765185
2008-10-08 00:00:00-05:00,,0,015765185
2008-10-09 00:00:00-05:00,,0,015765185
2008-10-10 00:00:00-05:00,,0,015765185
2008-10-11 00:00:00-05:00,,0,015765185
2008-10-12 00:00:00-05:00,,0,015765185
2008-10-13 00:00:00-05:00,,0,015765185
2008-10-14 00:00:00-05:00,,0,015765185
2008-10-15 00:00:00-05:00,,0,015765185
2008-10-16 00:00:00-05:00,,0,015765185
2008-10-17 00:00:00-05:00,,0,015765185
2008-10-18 00:00:00-05:00,,0,015765185
2008-10-19 00:00:00-05:00,,0,015765185
2008-10-20 00:00:00-05:00,,0,015765185
2008-10-21 00:00:00-05:00,,0,015765185
2008-10-22 00:00:00-05:00,,0,015765185
2008-10-23 00:00:00-05:00,,0,015765185
2008-10-24 00:00:00-05:00,,0,015765185
2008-10-25 00:00:00-05:00,4.17,39,015765185
2008-10-26 00:00:00-05:00,0.147,51,015765185
2008-10-27 00:00:00-05:00,0.0602,22,015765185
2008-10-28 00:00:00-05:00,1.31,96,015765185
2008-10-29 00:00:00-05:00,0.139,66,015765185
2008-10-30 00:00:00-05:00,,0,015765185
2008-10-31 00:00:00-05:00,,0,015765185
2008-11-01 00:00:00-05:00,,0,015765185
2008-11-02 00:00:00-05:00,0.00371,4,015765185
2008-11-03 00:00:00-05:00,,0,015765185
2008-11-04 00:00:00-05:00,,0,015765185
2008-11-05 00:00:00-05:00,,0,015765185
2008-11-06 00:00:00-05:00,0.0201,10,015765185
2008-11-07 00:00:00-05:00,,0,015765185
2008-11-08 00:00:00-05:00,,0,015765185
2008-11-09 00:00:00-05:00,,0,015765185
2008-11-10 00:00:00-05:00,,0,015765185
2008-11-11 00:00:00-05:00,,0,015765185
2008-11-12 00:00:00-05:00,,0,015765185
2008-11-13 00:00:00-05:00,1.89,43,015765185
2008-11-14 00:00:00-05:00,,0,015765185
2008-11-15 00:00:00-05:00,7.29,77,015765185
2008-11-16 00:00:00-05:00,0.302,49,015765185
2008-11-17 00:00:00-05:00,,0,015765185
2008-11-18 00:00:00-05:00,,0,015765185
2008-11-19 00:00:00-05:00,,0,015765185
2008-11-20 00:00:00-05:00,,0,015765185
2008-11-21 00:00:00-05:00,,0,015765185
2008-11-22 00:00:00-05:00,,0,015765185
2008-11-23 00:00:00-05:00,,0,015765185
2008-11-24 00:00:00-05:00,,0,015765185
2008-11-25 00:00:00-05:00,0.0991,19,015765185
2008-11-26 00:00:00-05:00,0.0998,96,015765185
2008-11-27 00:00:00-05:00,0.111,96,015765185
2008-11-28 00:00:00-05:00,0.105,96,015765185
2008-11-29 00:00:00-05:00,0.0983,96,015765185
2008-11-30 00:00:00-05:00,0.603,96,015765185
2008-12-01 00:00:00-05:00,0.551,96,015765185
2008-12-02 00:00:00-05:00,0.157,96,015765185
2008-12-03 00:00:00-05:00,0.127,95,015765185
2008-12-04 00:00:00-05:00,0.134,96,015765185
2008-12-05 00:00:00-05:00,0.12,91,015765185
2008-12-06 00:00:00-05:00,0.114,96,015765185
2008-12-07 00:00:00-05:00,0.102,93,015765185
2008-12-08 00:00:00-05:00,0.0987,96,015765185
