datetime,datetime_str,00010_Maximum,00010_Maximum_cd,site_no,00010_Minimum,00010_Minimum_cd,00010_Mean,00010_Mean_cd,00060_Mean,00060_Mean_cd,63680_Maximum,63680_Maximum_cd,63680_Minimum,63680_Minimum_cd,63680_Mean,63680_Mean_cd,datetime
2008-11-14 00:00:00-05:00,2008-11-14 00:00:00,,,015765185,,,,,0.46,A,,,,,,,2008-11-14 00:00:00-05:00
2008-11-15 00:00:00-05:00,2008-11-15 00:00:00,,,015765185,,,,,3.34,A,,,,,,,2008-11-15 00:00:00-05:00
2008-11-16 00:00:00-05:00,2008-11-16 00:00:00,,,015765185,,,,,0.7,A,,,,,,,2008-11-16 00:00:00-05:00
2008-11-17 00:00:00-05:00,2008-11-17 00:00:00,,,015765185,,,,,0.47,A,,,,,,,2008-11-17 00:00:00-05:00
2008-11-18 00:00:00-05:00,2008-11-18 00:00:00,,,015765185,,,,,0.44,A,,,,,,,2008-11-18 00:00:00-05:00
2008-11-19 00:00:00-05:00,2008-11-19 00:00:00,,,015765185,,,,,0.39,A,,,,,,,2008-11-19 00:00:00-05:00
2008-11-20 00:00:00-05:00,2008-11-20 00:00:00,,,015765185,,,,,0.37,A,,,,,,,2008-11-20 00:00:00-05:00
2008-11-21 00:00:00-05:00,2008-11-21 00:00:00,,,015765185,,,,,0.38,A,,,,,,,2008-11-21 00:00:00-05:00
2008-11-22 00:00:00-05:00,2008-11-22 00:00:00,,,015765185,,,,,0.36,A,,,,,,,2008-11-22 00:00:00-05:00
2008-11-23 00:00:00-05:00,2008-11-23 00:00:00,,,015765185,,,,,0.35,A,,,,,,,2008-11-23 00:00:00-05:00
2008-11-24 00:00:00-05:00,2008-11-24 00:00:00,,,015765185,,,,,0.33,A,,,,,,,2008-11-24 00:00:00-05:00
2008-11-25 00:00:00-05:00,2008-11-25 00:00:00,,,015765185,,,,,0.52,A,,,,,,,2008-11-25 00:00:00-05:00
