datetime,daily_SSC_Load,daily_count,site_no
2009-01-31 00:00:00-05:00,,0,01576516
2009-02-01 00:00:00-05:00,,0,01576516
2009-02-02 00:00:00-05:00,,0,01576516
2009-02-03 00:00:00-05:00,,0,01576516
2009-02-04 00:00:00-05:00,,0,01576516
2009-02-05 00:00:00-05:00,,0,01576516
2009-02-06 00:00:00-05:00,,0,01576516
2009-02-07 00:00:00-05:00,,0,01576516
2009-02-08 00:00:00-05:00,,0,01576516
2009-02-09 00:00:00-05:00,,0,01576516
2009-02-10 00:00:00-05:00,,0,01576516
2009-02-11 00:00:00-05:00,,0,01576516
2009-02-12 00:00:00-05:00,,0,01576516
2009-02-13 00:00:00-05:00,0.596,84,01576516
2009-02-14 00:00:00-05:00,0.5770000000000001,83,01576516
2009-02-15 00:00:00-05:00,0.5820000000000001,85,01576516
2009-02-16 00:00:00-05:00,0.535,80,01576516
2009-02-17 00:00:00-05:00,0.45399999999999996,69,01576516
2009-02-18 00:00:00-05:00,0.467,57,01576516
2009-02-19 00:00:00-05:00,0.52,65,01576516
2009-02-20 00:00:00-05:00,0.5479999999999999,84,01576516
2009-02-21 00:00:00-05:00,0.534,83,01576516
2009-02-22 00:00:00-05:00,0.5329999999999999,84,01576516
2009-02-23 00:00:00-05:00,0.598,95,01576516
2009-02-24 00:00:00-05:00,0.508,77,01576516
2009-02-25 00:00:00-05:00,0.469,73,01576516
2009-02-26 00:00:00-05:00,,0,01576516
2009-02-27 00:00:00-05:00,,0,01576516
2009-02-28 00:00:00-05:00,,0,01576516
2009-03-01 00:00:00-05:00,,0,01576516
2009-03-02 00:00:00-05:00,,0,01576516
2009-03-03 00:00:00-05:00,,0,01576516
2009-03-04 00:00:00-05:00,,0,01576516
2009-03-05 00:00:00-05:00,,0,01576516
2009-03-06 00:00:00-05:00,,0,01576516
2009-03-07 00:00:00-05:00,,0,01576516
2009-03-08 00:00:00-05:00,,0,01576516
2009-03-09 00:00:00-05:00,,0,01576516
2009-03-10 00:00:00-05:00,,0,01576516
2009-03-11 00:00:00-05:00,,0,01576516
2009-03-12 00:00:00-05:00,,0,01576516
2009-03-13 00:00:00-05:00,,0,01576516
2009-03-14 00:00:00-05:00,,0,01576516
2009-03-15 00:00:00-05:00,,0,01576516
2009-03-16 00:00:00-05:00,,0,01576516
2009-03-17 00:00:00-05:00,,0,01576516
2009-03-18 00:00:00-05:00,,0,01576516
2009-03-19 00:00:00-05:00,,0,01576516
2009-03-20 00:00:00-05:00,,0,01576516
2009-03-21 00:00:00-05:00,,0,01576516
2009-03-22 00:00:00-05:00,,0,01576516
2009-03-23 00:00:00-05:00,,0,01576516
2009-03-24 00:00:00-05:00,0.0182,6,01576516
